Account,date,daily_pnl,mean_pnl_per_trade,pnl_std,min_pnl,max_pnl,total_volume,avg_trade_size,total_fees,num_trades,sentiment,fear_greed_value,win_rate,long_short_ratio,drawdown_proxy
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-19,0.0,0.0,0.0,0.0,0.0,242679.37,3791.86515625,3.30336134,64,Greed,75.0,0.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-14,194499.072534,419.1790356336207,860.971938080937,1.102835,10308.83318,921831.01,1986.7047629310346,309.734741,464,Neutral,48.0,1.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-17,0.0,0.0,0.0,0.0,0.0,921521.26,3155.894726027397,11.76278358,292,Neutral,51.0,0.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-03-17,0.0,0.0,0.0,0.0,0.0,320068.24,9144.806857142858,107.542891,35,Fear,32.0,0.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-03-18,5429.87424,904.97904,2027.9839698377662,0.24696,5041.52964,258623.93000000002,43103.988333333335,24.827891,6,Fear,34.0,1.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-03-19,13272.411278,99.792566,340.4692070028226,-102.25116,2264.435214,863420.6900000001,6491.884887218045,255.50186300000001,133,Fear,32.0,0.15037593984962405,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-03-20,3865.013572,51.53351429333333,65.85477860110026,0.019728,339.5781,104381.48,1391.7530666666667,10.415377,75,Neutral,49.0,1.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-03-27,0.0,0.0,0.0,0.0,0.0,158959.64,2064.410909090909,53.410361,77,Fear,40.0,0.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-03-28,1470.407794,17.50485469047619,46.51803155925366,0.114453,421.580621,160429.83,1909.8789285714283,53.904336,84,Fear,44.0,1.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-01,0.0,0.0,0.0,0.0,0.0,179501.53,13807.81,17.232134000000002,13,Fear,34.0,0.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-03,0.0,0.0,0.0,0.0,0.0,110787.03,2260.9597959183675,15.327551,49,Fear,25.0,0.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-05,0.0,0.0,0.0,0.0,0.0,86259.65,2537.0485294117643,23.31552,34,Fear,30.0,0.0,0,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-07,-37999.868086,-499.9982642894737,2558.0811442574036,-21333.46888,1538.04582,529712.57,6969.902236842105,98.414251,76,Fear,23.0,0.07894736842105263,0,42182.905726
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-04-08,3131.840108,21.16108181081081,184.0909988645716,0.0,2013.801309,1430720.55,9667.030743243244,137.349014,148,Fear,24.0,0.10810810810810811,0,0.0
